2022-08-10 23:34:33 [DBG] main.go:42 | seelog test end
2022-08-10 23:35:33 [INF] main.go:31 | seelog test begin
2022-08-10 23:35:33 [DBG] main.go:42 | seelog test end
2022-08-10 23:35:46 [INF] main.go:31 | seelog test begin
2022-08-10 23:35:46 [DBG] main.go:42 | seelog test end
2022-08-10 23:36:12 [INF] main.go:31 | seelog test begin
2022-08-10 23:36:12 [DBG] main.go:42 | seelog test end
2022-08-10 23:36:49 [INF] main.go:31 | seelog test begin
2022-08-10 23:36:49 [DBG] main.go:42 | seelog test end
2022-08-10 23:37:18 [INF] main.go:31 | seelog test begin
2022-08-10 23:37:18 [DBG] main.go:42 | seelog test end
2022-08-10 23:39:04 [INF] main.go:31 | seelog test begin
2022-08-10 23:39:04 [DBG] main.go:42 | seelog test end
